ResponseID,S4,S7,P7,C4,C5,T5,E2,E3,SC1,SC2,SC3,SC4,SC5,SC6,Q1,Q2,Q3,Q6,Q8,Q9,Q10
R_1P776djwnwYYHqv,Disagree,Strongly disagree,,Every day,Yes,,Agree,Agree,Agree,Yes,Disagree,Strongly disagree,No,,23,IT Manager,Master's Degree,Both open source and closed source,"Yes, informal","Yes, informal",More frequently
R_1JUtR4olDrf7HbR,Agree,Neutral,,Once per month,Yes,,,,Strongly agree,Yes,Neutral,Disagree,No,,21,Programmer,Bachelor's Degree,Both open source and closed source,"Yes, formal","Yes, informal",Monthly
R_3kcX5GVjOS0Bqsc,Strongly agree,Neutral,Yes,Every day,Yes,Agree,Neutral,Neutral,Strongly agree,Yes,Agree,Disagree,Yes,Yes,40,Consultant,Bachelor's Degree,Both open source and closed source,"Yes, informal","Yes, informal",Quarterly
R_1lt6DlQzUc9YCuQ,Agree,Neutral,Yes,Every day,Yes,Strongly disagree,,,Strongly agree,Yes,Agree,Disagree,Yes,I don’t know,20,Programmer,Bachelor's Degree,Both open source and closed source,"Yes, informal",No,Quarterly
R_3MrNOoshiY0ac9F,Agree,Agree,Yes,Once per week,Yes,Agree,,,Agree,Yes,Agree,Neutral,No,,15,Project Lead,Master's Degree,Both open source and closed source,"Yes, formal","Yes, informal",More frequently
R_1CqN5FujZLDvcKR,Neutral,Disagree,Yes,Depends on release cycle,Yes,Disagree,Neutral,Neutral,,Yes,Neutral,Disagree,Yes,Yes,40,Consultant,Master's Degree,Both open source and closed source,"Yes, formal","Yes, informal",Quarterly
R_2uq9Acrc4ykecue,Agree,Disagree,,Every day,Yes,Disagree,,,Strongly agree,Yes,Agree,Agree,No,,22,CTO,Bachelor's Degree,Both open source and closed source,"Yes, informal","Yes, informal",Monthly
R_1OW6El7D3OdhNRf,Strongly agree,Agree,Yes,Once per week,Yes,Agree,,,Agree,Yes,Agree,Agree,No,,3,Programmer,Bachelor's Degree,Both open source and closed source,"Yes, formal",No,Monthly
R_2X02uH9Mm87FxHp,Strongly disagree,Strongly agree,Yes,Every day,Yes,Strongly agree,Strongly agree,Agree,Strongly agree,Yes,Agree,Strongly agree,Yes,Yes,40,Project Lead,Some college,Closed source only,"Yes, formal","Yes, informal",Quarterly
R_bHpYNSKRMzkT17z,Agree,Disagree,,we use it when we decide to use an open source component,No,Disagree,,,Strongly agree,No,,,,,,OSPO member,Master's Degree,Both open source and closed source,"Yes, informal","Yes, informal",Annually
R_1dvn1oXd2P5Cn5j,Agree,Disagree,No,Once per week,Yes,,,,Neutral,Yes,Disagree,Disagree,Yes,Yes,30,IT Manager,Master's Degree,Both open source and closed source,"Yes, informal","Yes, informal",Monthly
R_1diviwEB1kpQfiN,Strongly agree,Agree,Yes,on each commit and build,Yes,Disagree,Disagree,Disagree,Strongly agree,Yes,Agree,Neutral,Yes,Yes,25,Project Lead,Master's Degree,Both open source and closed source,"Yes, informal","Yes, informal",Monthly
R_1OB0LxI7A9lN4v1,Neutral,Neutral,Yes,Once per week,No,,,,Agree,Yes,Agree,Neutral,Yes,Yes,1,Programmer,Master's Degree,Both open source and closed source,"Yes, informal","Yes, informal",Quarterly
R_1DpptG7RIqiyn7A,Agree,Agree,,Once per month,Yes,,,,Agree,Yes,Agree,Agree,Yes,Yes,4,Project Manager,Master's Degree,Both open source and closed source,"Yes, formal","Yes, formal",Monthly
R_see02VMCNuhmSQN,Strongly agree,Strongly agree,,Once per week,Yes,,,,Agree,Yes,Agree,Agree,Yes,Yes,8,Programmer,Master's Degree,Both open source and closed source,"Yes, formal","Yes, formal",More frequently
R_XMyDUO6vfwhb8CR,Strongly agree,Strongly agree,Yes,Every day,Yes,,,,Strongly agree,Yes,Neutral,Disagree,Yes,Yes,4,DevOps Engineer,Bachelor's Degree,Open source only,"Yes, formal","Yes, formal",Monthly
R_1pXOYrzicaKEh9a,Strongly agree,Disagree,Yes,Every day,Yes,Disagree,Agree,Disagree,Strongly agree,Yes,Neutral,Agree,No,,20,CTO,Bachelor's Degree,Both open source and closed source,"Yes, formal","Yes, formal",More frequently
R_3LXdpHRFEVQIe4u,Agree,Neutral,,Once per month,I don’t know,,,,Agree,Yes,Neutral,Strongly disagree,No,,20,DevOps Engineer,Master's Degree,Both open source and closed source,"Yes, informal","Yes, informal",Quarterly
R_2yl8CXmByyorHTE,Strongly agree,Agree,Yes,Every day,Yes,Neutral,Neutral,Agree,Strongly agree,Yes,Agree,Neutral,Yes,Yes,30,Programmer,Doctoral Degree,Both open source and closed source,"Yes, informal","Yes, informal",More frequently
R_2q9OkXfkfd1mKNK,Agree,Neutral,No,Once per month,Yes,Neutral,,,Strongly agree,Yes,Agree,Disagree,Yes,Yes,13,CTO,Bachelor's Degree,Closed source only,"Yes, informal",No,Quarterly
R_1KiKqNbCINEHxXY,Strongly agree,Disagree,No,Once per week,Yes,Disagree,,,Agree,Yes,Agree,Disagree,No,,6,Programmer,Master's Degree,Open source only,"Yes, formal","Yes, formal",More frequently
R_2PAxXAIEnt2gfqt,Strongly agree,Neutral,No,Every day,Yes,,,,Agree,Yes,Agree,Strongly disagree,Yes,Yes,15,Project Lead,Bachelor's Degree,Both open source and closed source,"Yes, formal","Yes, informal",Annually
R_ZxHSmfKLU5TKoy5,Strongly agree,Agree,,Once per week,Yes,,,,Agree,Yes,Agree,Strongly disagree,No,,4,Project Lead,Bachelor's Degree,Open source only,No,"Yes, informal",Monthly
R_2Sxhtfy98WZgbDK,Agree,Disagree,,Very rarely,No,,,,Agree,Yes,Disagree,Disagree,Yes,No,10,DevOps Engineer,Master's Degree,Closed source only,"Yes, informal",No,More frequently
R_2AQHobX7zarEkVF,Neutral,Agree,,Once per month,Yes,,,,Strongly agree,Yes,Disagree,Disagree,Yes,Yes,32,Project Lead,Some college,Both open source and closed source,"Yes, informal","Yes, informal",Quarterly
R_wLxhLmNWViOfUVH,Agree,Agree,Yes,Once per week,Yes,,,,,Yes,Agree,Neutral,Yes,Yes,9,Consultant,Master's Degree,Both open source and closed source,"Yes, formal","Yes, informal",Quarterly
R_6hvm6eM6zWh1LpL,Strongly agree,Neutral,,Very rarely,I don’t know,,,,Strongly agree,Yes,Strongly agree,Strongly agree,Yes,I don’t know,10,Consultant,Master's Degree,Both open source and closed source,"Yes, informal","Yes, formal",Never
R_3fwNV4JCR7gYKCq,Strongly agree,Strongly agree,No,Once per month,Yes,,Strongly agree,Strongly agree,Strongly agree,Yes,Disagree,Disagree,Yes,No,3,DevOps Engineer,Bachelor's Degree,Both open source and closed source,"Yes, formal","Yes, formal",Never
R_eG8r0YjTDRCybL3,Strongly agree,Neutral,Yes,Every day,Yes,Neutral,Neutral,Neutral,Strongly agree,Yes,Agree,Disagree,Yes,Yes,35,Consultant,Bachelor's Degree,Both open source and closed source,"Yes, informal","Yes, informal",More frequently
R_3MtHobBp4TUfCnf,Agree,Disagree,Yes,Every day,Yes,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Yes,Agree,Agree,Yes,Yes,25,Security Researcher,Doctoral Degree,Open source only,"Yes, formal","Yes, informal",Annually
R_3DezCyLeytdTqTe,Strongly agree,Disagree,No,Once per week,No,,,,Agree,Yes,Agree,Neutral,Yes,Yes,39,Programmer,Bachelor's Degree,Open source only,"Yes, informal","Yes, informal",Quarterly
