In JSON,Response ID,S1,S3,S5,S6,S8,S10,P4,P8,P9,C3,C7,Sm3,Sc8,Sc9
2,R_pSFEcWrIVGPzkcN,"['DependencyTracker', 'Debugging', 'Licensing', 'Documentation']","['Name', 'URL', 'License', 'Linking', 'Identifier', 'Modified']","['Inconsistency', 'Tooling']",['Tooling'],,,,,,,,"['Templates','VersionControlIntegration']","['CodeReview', 'TestCases']",['ManualRecording']
4,R_3kcX5GVjOS0Bqsc,"['DependencyTracker', 'Licensing', 'Security', 'Compliance', 'Transparency']","['Identifier', 'UseCase']","['Underspecification', 'TooManyStandards', 'Comprehension']","['Standardization', 'Documentation']",['BetterLibraries'],['InRepository'],"['SatisfiedRequirements', 'IncreasedAdoption']","['TiedToSoftwareVersion', 'Identifier']","['EnvironmentSupport', 'Tooling']","['DependencyTracking', 'VulnerabilityDetection']","['Inconsistency', 'DifferentStandards']","['Website', 'GoverningBodies', 'SocialMedia']","['ReadDescription', 'CodeReview']","['PackageManager', 'Scanner']"
7,R_1etaPjf7ww473XA,"['DependencyTracker', 'Licensing', 'Documentation']","['Name', 'Author', 'License', 'Dependencies', 'License', 'CreationTime', 'UseCase']",['Tooling'],"['Tooling', 'SupportRelatedOrganizations']",['SupportRelatedOrganizations'],,,,,,,['GoverningBodies'],"['ReadDescription', 'CodeReview']",['PackageManager']
8,R_1lt6DlQzUc9YCuQ,"['DependencyTracker', 'Licensing', 'Security']","['Name', 'Version', 'Ecosystem', 'Checksum', 'URL']","['MissingFields', 'Tooling']",['Standardization'],['GenerateAccurateSbom'],['NotInRepository'],,['ToolAssisted'],['PoorQualitySboms'],,"['PoorQualitySboms', 'Inconsistency']",,['BadAnswer'],['SBOM']
9,R_1M4HoMp9oXP92Jc,"['DependencyTracker', 'MachineReadable']","['Name', 'Dependencies', 'URL', 'License', 'CreationTime', 'Author', 'Organization', 'Description', 'Version', 'Vulnerabilities']","['DifferenceInExpectations', 'LanguageSupport', 'MissingFields']","['SupportRelatedOrganizations', 'Communication']","['ClarifiedStandards', 'SupportRelatedOrganizations']",,,,,,,['Forum'],['ReadDescription'],"['PackageManager', 'Scanner']"
11,R_3MrNOoshiY0ac9F,"['DependencyTracker', 'Licensing', 'Provenance']","['Organization', 'License', 'Identifier', 'URL']","['Tooling',  'UseCaseSupport']","['ImproveOverTime', 'SupportRelatedOrganizations']",['NoDeficiencies'],['InBinary'],['LocateSecurityIssues'],['Identifier'],['LegalRequirements'],,['PoorQualitySboms'],['FreelyAvailable'],"['BinaryAnalysis', 'Versioning']",['Scanner']
12,R_1CqN5FujZLDvcKR,"['DependencyTracker', 'Licensing', 'Security', 'Versioning', 'MachineReadable', 'Provenance']","['Name', 'License', 'Version', 'Organization']","['Overspecification', 'Inconsistency', 'TooManyStandards', 'UnavailableInformation']",['Standardization'],['Communication'],['DeliveredWithArtifact'],"['LocateSecurityIssues','DependencyManagement', 'Licensing']",['ToolAssisted'],"['EnvironmentSupport', 'Tooling', 'UnavailableInformation']",['DependencyTracking'],['Inconsistency'],['GoverningBodies'],['CodeReview'],['PackageManager']
14,R_1gnCm7rvxLjS2rN,"['DependencyTracker', 'Security', 'Transparency']","['Author', 'CreationTime', 'Version', 'Dependencies', 'Vulnerabilities', 'Mitigations', 'License', 'UseCase', 'PerformaceRequirements']",['MLSupport'],['AddMLFields'],['SimplerTools'],,,,,,,['BadAnswer'],,
17,R_2X02uH9Mm87FxHp,"['DependencyTracker', 'Security', 'Licensing']",['BadAnswer'],['SbomDistribution'],['SupportRelatedOrganizations'],['SupportRelatedOrganizations'],['VendorDiscretion'],,['Database'],['Tooling'],,['Inconsistency'],['BadAnswer'],['ReadDescription'],['PackageManager']
18,R_bHpYNSKRMzkT17z,"['DependencyTracker', 'Licensing']",['MinimumElements'],['CheckingSbomQuality'],['Standardization'],"['LanguageAgnosticTools', 'ShowUnknowns']",,,,,,"['DifferentStandards', 'PoorQualitySboms']","['FreelyAvailable', 'ToolSupport']",,
24,R_2tgjPTTsOMyIVO4,"['DependencyTracker', 'Security', 'Provenance']","['Name', 'License', 'Identifier', 'Version', 'URL', 'Vulnerabilities']","['Tooling', 'AmbiguousGuidance', 'ManagementCost', 'YoungTechnology']",['Communication'],,,,,,,,['BadAnswer'],,
38,R_1diviwEB1kpQfiN,"['DependencyTracker', 'Licensing', 'Security']",['URL'],"['Underspecification', 'Overspecification', 'Comprehension']",['Standardization'],['BadAnswer'],['BadAnswer'],"['DependencyManagement', 'Licensing']",['TiedToSoftwareVersion'],"['SpecificationComprehension', 'ImplementationDifficulty', 'InteroperabilityIssues']",,['PoorQualitySboms'],,"['ReadDescription', 'ToolAssisted']","['Scanner', 'CallGraph']"
123,R_2dLMPLyI3CfVNMD,['DependencyTracker'],,"['Tooling', 'Inconsistency']","['Communication','Standardization', 'SupportRelatedOrganizations']",,,,,,,,['BadAnswer'],,
219,R_1pXOYrzicaKEh9a,"['DependencyTracker', 'Language']",['Identifier'],['Tooling'],['Tooling'],['GenerateAccurateSbom'],,['LocateSecurityIssues'],"['ToolAssisted', 'ContinuousIntegration']",['PoorQualitySboms'],,"['Inconsistency', 'ToolBugs']",['GoverningBodies'],['ReadDescription'],['SBOM']
235,R_2yl8CXmByyorHTE,['DependencyTracker'],['Version'],['KeepingUpdated'],['Tooling'],['BadAnswer'],,,"['ToolAssisted', 'ContinuousIntegration']",['UnavailableInformation'],,['PoorQualitySboms'],['BadAnswer'],['ToolAssisted'],['PackageManager']
281,R_eG8r0YjTDRCybL3,"['Provenance', 'DependencyTracker', 'Documentation']","['Checksum', 'CreationTime', 'URL', 'Identifier', 'Organization', 'License', 'Linking', 'Author', 'Dependencies', 'Vulnerabilities', 'MinimumElements']","['TooManyStandards', 'DifficultToAuthenticateData', 'Comprehension']",['Standardization'],['SupportRelatedOrganizations'],"['ShouldBeSigned', 'BlockChain']","['ImprovedQuality', 'Efficiency']",['ToolAssisted'],['UnavailableInformation'],"['DependencyTracking', 'FastAndEasy']","['Inconsistency', 'PoorQualitySboms']","['Forum', 'GoverningBodies', 'Hack-a-thon', 'Conference']","['ToolAssisted', 'CodeReview', 'Ad-hoc']","['PackageManager', 'ProprietaryTool', 'GitHub']"
