ResponseID,Software stakeholders seeking to create SBOMs for their projects,Other (please specify),Software stakeholders seeking to remove/replace end-of-life components,Software stakeholders seeking to enhance their projectsâ€™ security,"Generally SCA, and embedding in other SCA tools.",Software stakeholders seeking to meet licensing requirements,open source projects who couldnt'/wouldn't use expensive proprietary tools for vulnerability scanning,Businesses and organizations seeking to meet requirements set by regulatory bodies,Businesses and organizations seeking to gain insights into the connections between different pieces of software that they use and/or maintain,Software supply chain risk assessments in accordance with  NIST/CISA requirements for OMB memo M-22-18,Software stakeholders seeking to analyze a project's dependencies,No Answer
R_1P776djwnwYYHqv,,,,,,,,,,,,1
R_3kcX5GVjOS0Bqsc,1,,,1,,1,,1,1,,1,
R_9mlyPsE52APF3RT,,,,,,,,,,,,1
R_1CqN5FujZLDvcKR,1,,,1,,1,,,,,1,
R_2X02uH9Mm87FxHp,,1,,1,,,,1,1,1,,
R_1diviwEB1kpQfiN,1,1,1,1,1,1,,1,1,,1,
R_2s5ZlVioDWKw8nl,,,,,,,,,,,,1
R_1pXOYrzicaKEh9a,1,,1,1,,1,,1,1,,1,
R_11db8BgtVC2jgQK,,,,,,,,,,,,1
R_2yl8CXmByyorHTE,,,1,,,,,,,,,
R_2QrYYG4zX8M9X45,,,,,,,,,,,,1
R_3fwNV4JCR7gYKCq,,,,,,,,,,,,1
R_eG8r0YjTDRCybL3,1,,1,1,,1,,1,1,,1,
R_3MtHobBp4TUfCnf,1,1,1,1,,1,1,1,1,,1,
